age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
,,,1st-4th,2.0,,,,,,,,,Mexico,<=50K
,,344891.0,,10.0,,,,,,0.0,0.0,,United-States,<=50K
,,,,,Married-civ-spouse,,Husband,White,,,0.0,40.0,United-States,<=50K
18.0,Federal-gov,,,9.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
62.0,,,,,,,,,,,,,United-States,<=50K
,,29231.0,,,,,Husband,,,0.0,,,United-States,>50K
,,199856.0,HS-grad,,Married-civ-spouse,Sales,,White,Female,0.0,0.0,50.0,United-States,<=50K
,,,HS-grad,9.0,,,,,,,,,United-States,>50K
,Private,211097.0,5th-6th,3.0,Divorced,,Unmarried,Other,Female,0.0,,20.0,Honduras,<=50K
,,165020.0,,,,,Husband,,,0.0,,,United-States,<=50K
,,239098.0,,,,,Unmarried,,,0.0,,,United-States,<=50K
,,,,,,,,,,,,,United-States,<=50K
,,,,,Married-civ-spouse,,Husband,White,,,0.0,99.0,United-States,>50K
,,270079.0,,13.0,Married-civ-spouse,Exec-managerial,,,Male,,0.0,,United-States,>50K
19.0,Private,407759.0,,9.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
32.0,,,,,,,,,,,,,United-States,<=50K
,,348592.0,HS-grad,,Married-civ-spouse,Machine-op-inspct,,White,Male,0.0,0.0,44.0,United-States,<=50K
,,448337.0,,9.0,,,,,,0.0,0.0,,United-States,<=50K
,,169611.0,,9.0,,,,,,0.0,0.0,,United-States,<=50K
51.0,State-gov,,,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,56.0,United-States,>50K
,,,,,,,,,,,,,United-States,<=50K
48.0,,,,,,,,,,,,,United-States,>50K
,,,HS-grad,9.0,Married-civ-spouse,,Own-child,Amer-Indian-Eskimo,Female,0.0,,,United-States,<=50K
,,,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,7298.0,,,United-States,>50K
45.0,State-gov,,,11.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
37.0,,,,,,,,,,,,,United-States,>50K
,Private,114758.0,HS-grad,9.0,Married-civ-spouse,,Husband,White,Male,0.0,,40.0,United-States,>50K
,,,Some-college,10.0,Divorced,,Unmarried,White,Female,0.0,,,United-States,<=50K
,,256671.0,,,,,Wife,,,0.0,,,United-States,<=50K
,,82847.0,HS-grad,,Separated,Other-service,,White,Female,0.0,0.0,50.0,Portugal,>50K
,,233022.0,,7.0,Widowed,Adm-clerical,,,Female,,0.0,,United-States,<=50K
,,,,,,,,,,,,,United-States,>50K
59.0,,,HS-grad,9.0,Married-civ-spouse,Craft-repair,,,Male,,0.0,40.0,United-States,>50K
40.0,Private,,,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
,,,,,Never-married,,Own-child,White,,,0.0,40.0,United-States,<=50K
,,,Bachelors,13.0,,,,,,,,,United-States,>50K
,,241367.0,,,,,Own-child,,,0.0,,,United-States,<=50K
,,,Prof-school,15.0,,,,,,,,,United-States,>50K
,,168191.0,,10.0,,,,,,15024.0,0.0,,United-States,>50K
32.0,,,,,,,,,,,,,United-States,<=50K
,,,Some-college,10.0,,,,,,,,,United-States,<=50K
41.0,,,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,,,Male,,0.0,40.0,United-States,>50K
,,144522.0,,9.0,Married-civ-spouse,Craft-repair,,,Male,,0.0,,El-Salvador,<=50K
,,,Prof-school,15.0,Married-civ-spouse,,Husband,White,Male,99999.0,,,United-States,>50K
,,183701.0,,6.0,,,,,,0.0,0.0,,United-States,<=50K
38.0,,,,,,,,,,,,,United-States,>50K
,,,Some-college,10.0,Separated,,Unmarried,White,Female,0.0,,,United-States,<=50K
,Private,184759.0,HS-grad,9.0,Never-married,,Not-in-family,White,Female,0.0,,26.0,United-States,<=50K
,,79531.0,,,,,Husband,,,0.0,,,United-States,>50K
,,,,,,,,,,,,,United-States,<=50K
,,344060.0,,13.0,Never-married,Other-service,,,Male,,0.0,,United-States,>50K
35.0,Private,,,10.0,Never-married,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,<=50K
,,,Bachelors,13.0,Married-civ-spouse,,Husband,White,Male,0.0,,,United-States,<=50K
20.0,,,,,,,,,,,,,Puerto-Rico,<=50K
,,97030.0,Bachelors,,Divorced,Exec-managerial,,White,Female,0.0,0.0,35.0,United-States,<=50K
31.0,Private,118399.0,,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,,,HS-grad,9.0,Married-civ-spouse,Other-service,,,Male,,0.0,39.0,United-States,<=50K
,,161153.0,,9.0,,,,,,0.0,0.0,,United-States,<=50K
,,,,,Never-married,,Own-child,White,,,0.0,20.0,United-States,<=50K
,,127185.0,9th,,Never-married,Machine-op-inspct,,White,Female,0.0,0.0,40.0,United-States,<=50K
,,220667.0,7th-8th,,Widowed,Exec-managerial,,White,Female,0.0,0.0,40.0,United-States,<=50K
,Private,414721.0,11th,7.0,Never-married,,Own-child,Black,Male,0.0,,23.0,United-States,<=50K
52.0,,,,,,,,,,,,,United-States,<=50K
,,,,,Never-married,,Not-in-family,White,,,0.0,40.0,United-States,<=50K
,,188798.0,,13.0,,,,,,0.0,0.0,,United-States,<=50K
75.0,,,HS-grad,9.0,Married-civ-spouse,Sales,,,Male,,0.0,20.0,United-States,<=50K
,,,Some-college,10.0,Widowed,,Unmarried,White,Female,0.0,,,United-States,<=50K
,,,Bachelors,13.0,,,,,,,,,United-States,>50K
,,,,,,,,,,,,,United-States,>50K
,,,,,,,,,,,,,United-States,<=50K
63.0,Self-emp-not-inc,326903.0,,2.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,25.0,United-States,<=50K
42.0,,,Bachelors,13.0,Married-civ-spouse,Sales,,,Male,,0.0,45.0,United-States,>50K
,Private,180039.0,12th,8.0,Never-married,,Own-child,White,Female,0.0,,20.0,United-States,<=50K
,,,HS-grad,9.0,,,,,,,,,United-States,<=50K
,,80174.0,,,,,Other-relative,,,1848.0,,,United-States,<=50K
49.0,Private,,,11.0,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0.0,1380.0,42.0,United-States,<=50K
,,203488.0,,10.0,Never-married,Handlers-cleaners,,,Male,,0.0,,United-States,<=50K
,,,,,Married-civ-spouse,,Husband,White,,,0.0,50.0,United-States,>50K
,,54202.0,,13.0,,,,,,10520.0,0.0,,United-States,>50K
34.0,Local-gov,,,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
,,,Masters,14.0,,,,,,,,,United-States,<=50K
,,234640.0,,9.0,Never-married,Exec-managerial,,,Female,,0.0,,United-States,<=50K
,State-gov,147719.0,Bachelors,13.0,Never-married,,Not-in-family,Asian-Pac-Islander,Male,0.0,,20.0,India,<=50K
,,,Prof-school,15.0,Married-civ-spouse,,Husband,White,Male,0.0,,,United-States,>50K
,,53833.0,,9.0,Never-married,Other-service,,,Male,,0.0,,United-States,<=50K
,,,,,Married-civ-spouse,,Husband,White,,,0.0,45.0,Mexico,<=50K
,,,Masters,14.0,,,,,,,,,United-States,>50K
25.0,Private,125159.0,,12.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,Jamaica,<=50K
,,251323.0,9th,,Married-civ-spouse,Farming-fishing,,White,Male,0.0,0.0,40.0,Cuba,<=50K
50.0,,,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,,,Female,,0.0,40.0,United-States,>50K
,,,Some-college,10.0,,,,,,,,,United-States,<=50K
,,,7th-8th,4.0,Married-civ-spouse,,Husband,White,Male,0.0,,,United-States,<=50K
,,,,,Divorced,,Own-child,White,,,0.0,40.0,United-States,<=50K
,,338611.0,,,,,Unmarried,,,0.0,,,United-States,<=50K
49.0,,,HS-grad,9.0,Divorced,Adm-clerical,,,Female,,0.0,40.0,United-States,<=50K
27.0,Private,181916.0,,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
,,91141.0,10th,,Never-married,Sales,,White,Male,0.0,0.0,8.0,United-States,<=50K
33.0,,,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,,,Male,,0.0,40.0,United-States,<=50K
,,200511.0,Bachelors,,Married-civ-spouse,Sales,,White,Male,0.0,0.0,50.0,United-States,<=50K
,,,,,Married-civ-spouse,,Husband,White,,,0.0,80.0,United-States,>50K
26.0,,,,,,,,,,,,,Puerto-Rico,<=50K
49.0,,,,,,,,,,,,,United-States,>50K
,,,,,Divorced,,Not-in-family,White,,,0.0,45.0,United-States,<=50K
,,148532.0,Bachelors,,Married-civ-spouse,Sales,,White,Male,0.0,0.0,60.0,United-States,>50K
,,,HS-grad,9.0,Married-civ-spouse,,Wife,White,Female,0.0,,,United-States,>50K
